id,age,bmi,apartment,home,family,office,school
127,6,28,1,-1,36,-1,1
128,49,15,1,-1,37,3,-1
129,41,15,1,-1,37,-1,-1
130,1,24,1,-1,37,-1,0
131,12,28,1,-1,37,-1,2
132,36,18,1,-1,38,2,-1
133,36,27,1,-1,38,1,-1
134,8,27,1,-1,38,-1,1
135,2,16,1,-1,38,-1,0
136,46,23,1,-1,39,0,-1
137,17,18,1,-1,39,-1,3
138,12,22,1,-1,39,-1,2
139,49,25,2,-1,40,-1,-1
140,50,16,2,-1,40,4,-1
141,15,15,2,-1,40,-1,2
142,7,21,2,-1,40,-1,1
143,80,16,2,-1,40,-1,-1
144,42,22,2,-1,41,-1,-1
145,14,28,2,-1,41,-1,2
146,5,16,2,-1,41,-1,1
147,37,22,2,-1,42,1,-1
148,2,23,2,-1,42,-1,0
149,8,15,2,-1,42,-1,1
150,49,17,2,-1,43,-1,-1
151,13,26,2,-1,43,-1,2
152,20,15,2,-1,43,-1,4
153,80,18,2,-1,43,-1,-1
154,79,26,2,-1,43,-1,-1
155,31,16,2,-1,44,-1,-1
156,31,22,2,-1,44,4,-1
157,50,23,2,-1,45,4,-1
158,1,28,2,-1,45,-1,0
159,6,26,2,-1,45,-1,1
160,35,15,2,-1,46,-1,-1
161,38,19,2,-1,46,4,-1
162,2,15,2,-1,46,-1,0
163,32,21,2,-1,47,-1,-1
164,43,18,2,-1,47,4,-1
165,3,22,2,-1,47,-1,0
166,1,24,2,-1,47,-1,0
167,75,17,2,-1,47,-1,-1
168,31,28,2,-1,48,4,-1
169,3,17,2,-1,48,-1,0
170,65,23,2,-1,48,-1,-1
171,65,20,2,-1,48,4,-1
172,41,25,2,-1,49,-1,-1
173,36,27,2,-1,49,-1,-1
174,7,26,2,-1,49,-1,1
175,4,19,2,-1,49,-1,0
176,8,19,2,-1,49,-1,1
177,73,15,2,-1,49,-1,-1
178,71,16,2,-1,49,-1,-1
179,46,25,2,-1,50,-1,-1
180,35,27,2,-1,50,-1,-1
181,1,24,2,-1,50,-1,0
182,2,16,2,-1,50,-1,0
183,80,23,2,-1,50,-1,-1
184,79,15,2,-1,50,-1,-1
185,48,28,2,-1,51,-1,-1
186,50,22,2,-1,51,-1,-1
187,6,19,2,-1,51,-1,1
188,82,18,2,-1,51,-1,-1
189,85,22,2,-1,51,-1,-1
190,50,22,2,-1,52,-1,-1
191,11,15,2,-1,52,-1,2
192,22,27,2,-1,52,-1,-1
193,83,20,2,-1,52,-1,-1
194,85,27,2,-1,52,-1,-1
195,35,19,2,-1,53,1,-1
196,49,20,2,-1,53,2,-1
197,7,25,2,-1,53,-1,1
198,8,23,2,-1,53,-1,1
199,32,17,2,-1,54,1,-1
200,4,21,2,-1,54,-1,0
201,3,25,2,-1,54,-1,0
202,2,18,2,-1,54,-1,0
203,40,19,2,-1,55,4,-1
204,11,17,2,-1,55,-1,2
205,72,27,2,-1,55,-1,-1
206,74,26,2,-1,55,-1,-1
207,45,16,2,-1,56,1,-1
208,34,23,2,-1,56,4,-1
209,3,26,2,-1,56,-1,0
210,75,16,2,-1,56,-1,-1
211,79,28,2,-1,56,-1,-1
212,38,19,2,-1,57,-1,-1
213,3,18,2,-1,57,-1,0
214,5,19,2,-1,57,-1,1
215,42,23,2,-1,58,4,-1
216,8,24,2,-1,58,-1,1
217,8,26,2,-1,58,-1,1
218,73,18,2,-1,58,-1,-1
219,76,22,2,-1,58,-1,-1
220,47,18,2,-1,59,-1,-1
221,11,27,2,-1,59,-1,2
222,3,16,2,-1,59,-1,0
223,80,17,2,-1,59,-1,-1
224,79,20,2,-1,59,-1,-1
225,38,28,-1,0,60,-1,-1
226,12,26,-1,0,60,-1,2
227,5,20,-1,0,60,-1,1
228,72,28,-1,0,60,-1,-1
229,69,23,-1,0,60,-1,-1
230,38,17,-1,1,61,2,-1
231,3,17,-1,1,61,-1,0
232,13,16,-1,1,61,-1,2
233,72,18,-1,1,61,-1,-1
234,71,17,-1,1,61,-1,-1
235,38,24,-1,2,62,-1,-1
236,3,19,-1,2,62,-1,0
237,70,26,-1,2,62,-1,-1
238,70,27,-1,2,62,-1,-1
239,46,21,-1,3,63,0,-1
240,50,20,-1,3,63,2,-1
241,83,18,-1,3,63,-1,-1
242,84,18,-1,3,63,-1,-1
243,46,28,-1,4,64,-1,-1
244,44,15,-1,4,64,1,-1
245,16,15,-1,4,64,-1,-1
246,4,27,-1,4,64,-1,0
247,76,16,-1,4,64,-1,-1
248,79,17,-1,4,64,-1,-1
249,32,26,-1,5,65,4,-1
250,4,27,-1,5,65,-1,0
251,3,24,-1,5,65,-1,0
252,67,25,-1,5,65,-1,-1
253,64,18,-1,5,65,4,-1
254,31,27,-1,6,66,-1,-1
255,1,28,-1,6,66,-1,0
256,1,21,-1,6,66,-1,0
257,46,19,-1,7,67,2,-1
258,3,25,-1,7,67,-1,0
259,15,26,-1,7,67,-1,2
260,81,18,-1,7,67,-1,-1
261,30,28,-1,8,68,1,-1
262,33,16,-1,8,68,-1,-1
263,4,23,-1,8,68,-1,0
264,3,16,-1,8,68,-1,0
265,31,24,-1,9,69,-1,-1
266,45,15,-1,9,69,1,-1
267,4,18,-1,9,69,-1,0
268,3,15,-1,9,69,-1,0
269,30,24,-1,10,70,-1,-1
270,3,25,-1,10,70,-1,0
271,2,16,-1,10,70,-1,0
272,47,15,-1,11,71,1,-1
273,12,15,-1,11,71,-1,2
274,13,24,-1,11,71,-1,2
275,81,20,-1,11,71,-1,-1
276,30,21,-1,12,72,1,-1
277,5,26,-1,12,72,-1,1
278,41,26,-1,13,73,2,-1
279,34,15,-1,13,73,-1,-1
280,1,25,-1,13,73,-1,0
281,72,17,-1,13,73,-1,-1
282,46,28,-1,14,74,-1,-1
283,15,27,-1,14,74,-1,2
284,8,18,-1,14,74,-1,1
285,3,19,-1,14,74,-1,0
286,34,24,-1,15,75,1,-1
287,49,19,-1,15,75,-1,-1
288,4,24,-1,15,75,-1,0
289,4,23,-1,15,75,-1,0
290,84,28,-1,15,75,-1,-1
291,35,15,-1,16,76,0,-1
292,4,24,-1,16,76,-1,0
293,68,21,-1,16,76,-1,-1
294,38,28,-1,17,77,1,-1
295,49,20,-1,18,78,4,-1
296,48,21,-1,19,79,1,-1
297,43,20,-1,19,79,3,-1
298,14,27,-1,19,79,-1,2
299,7,19,-1,19,79,-1,1
300,34,23,-1,20,80,-1,-1
301,1,26,-1,20,80,-1,0
302,8,15,-1,20,80,-1,-1
303,2,23,-1,20,80,-1,0
304,44,26,-1,21,81,-1,-1
305,47,26,-1,21,81,2,-1
306,8,28,-1,21,81,-1,1
307,17,25,-1,21,81,-1,3
308,38,28,-1,22,82,2,-1
309,5,19,-1,22,82,-1,1
310,11,23,-1,22,82,-1,2
311,73,28,-1,22,82,-1,-1
312,72,27,-1,22,82,-1,-1
313,41,23,-1,23,83,-1,-1
314,13,21,-1,23,83,-1,2
315,1,21,-1,23,83,-1,0
316,35,24,-1,24,84,3,-1
317,1,18,-1,24,84,-1,0
318,5,27,-1,24,84,-1,1
319,70,25,-1,24,84,-1,-1
320,65,18,-1,24,84,3,-1
